State,Zip,Zip3,Weeks Since First Purchase,Weeks Since Last Purchase,Book Purchase ($),Nonbook Purchase($),Total Purchase ($),No. of Purchases,No. of Childbook Purchases,No. of Youthbook Purchases,No. of Cookbook Purchases,No. of Do It Purchases,No. of Referncebook Purchases,No. of Artbook Purchases,No. of Geographybook Purchases,Response,
NY,11691,116,11,9,26,57,83,2,1,0,0,1,0,0,0,No,Chosen
NY,11935,119,11,9,28,55,83,2,1,0,0,0,0,1,0,Yes,Chosen
NJ,7407,74,15,9,29,53,82,2,1,0,0,0,0,0,1,No,Chosen
NY,10467,104,13,9,29,53,82,2,1,0,0,0,0,0,1,No,Chosen
MA,2132,21,11,9,26,56,82,2,1,0,0,1,0,0,0,No,Chosen
PA,19004,190,11,9,26,55,81,2,0,1,0,1,0,0,0,No,Chosen
MA,2131,21,17,9,28,53,81,2,0,0,0,0,1,1,0,No,Chosen
NJ,8820,88,11,9,27,54,81,2,0,0,0,0,2,0,0,No,Chosen
NY,10543,105,11,9,29,52,81,2,0,0,1,0,0,0,1,Yes,Chosen
NY,11746,117,15,9,25,56,81,2,0,0,2,0,0,0,0,No,Chosen
PA,17518,175,15,9,27,54,81,2,0,0,1,0,1,0,0,No,Chosen
NY,11360,113,13,9,26,55,81,2,0,1,0,1,0,0,0,No,Chosen
NY,11357,113,13,9,28,52,80,2,1,0,0,0,0,1,0,No,Chosen
NY,12603,126,17,9,28,52,80,2,1,0,0,0,0,1,0,No,Chosen
NJ,7737,77,15,9,27,53,80,2,0,0,0,1,1,0,0,No,Chosen
NY,10804,108,13,9,25,54,79,2,0,0,2,0,0,0,0,No,Chosen
PA,19087,190,11,9,26,53,79,2,1,0,0,1,0,0,0,No,Chosen
NY,11580,115,15,9,23,56,79,2,2,0,0,0,0,0,0,No,Chosen
NY,10167,101,17,9,25,54,79,2,0,1,1,0,0,0,0,No,Chosen
PA,19026,190,11,9,27,52,79,2,0,0,0,1,1,0,0,No,Chosen
PA,15102,151,15,9,29,49,78,2,0,0,1,0,0,0,1,No,Chosen
CT,6883,68,15,9,29,49,78,2,0,0,1,0,0,0,1,No,Chosen
NY,11375,113,17,9,28,49,77,2,0,0,1,0,0,1,0,No,Chosen
NY,11229,112,15,9,23,54,77,2,2,0,0,0,0,0,0,No,Chosen
NJ,7753,77,13,9,24,53,77,2,1,1,0,0,0,0,0,No,Chosen
PA,19474,194,13,9,28,48,76,2,1,0,0,0,0,1,0,No,Chosen
NJ,7042,70,15,9,26,50,76,2,0,0,1,1,0,0,0,No,Chosen
NJ,7604,76,11,9,28,48,76,2,1,0,0,0,0,1,0,No,Chosen
MA,2172,21,13,9,26,50,76,2,0,1,0,1,0,0,0,No,Chosen
NJ,7712,77,15,9,29,47,76,2,1,0,0,0,0,0,1,No,Chosen
NJ,8731,87,13,9,29,47,76,2,1,0,0,0,0,0,1,No,Chosen
MA,2131,21,11,9,26,50,76,2,0,0,1,1,0,0,0,No,Chosen
NJ,7945,79,11,9,23,52,75,2,2,0,0,0,0,0,0,No,Chosen
NJ,8530,85,15,9,29,46,75,2,1,0,0,0,0,0,1,No,Chosen
NJ,7726,77,15,9,29,46,75,2,0,0,0,0,0,0,2,No,Chosen
NY,13660,136,15,9,28,47,75,2,0,0,1,0,0,1,0,Yes,Chosen
PA,19150,191,13,9,27,48,75,2,0,0,1,0,1,0,0,No,Chosen
NH,3263,32,13,9,28,46,74,2,1,0,0,0,0,1,0,Yes,Chosen
VT,5828,58,13,9,28,46,74,2,0,0,1,0,0,1,0,No,Chosen
NJ,7751,77,15,9,26,47,73,2,0,0,0,2,0,0,0,Yes,Chosen
NJ,8071,80,15,9,27,46,73,2,0,0,0,1,1,0,0,No,Chosen
NY,13090,130,13,9,29,43,72,2,1,0,0,0,0,0,1,No,Chosen
CT,6360,63,17,9,27,45,72,2,1,0,0,0,1,0,0,No,Chosen
PA,18064,180,11,9,26,46,72,2,0,1,0,1,0,0,0,No,Chosen
PA,19473,194,17,9,23,49,72,2,2,0,0,0,0,0,0,No,Chosen
NY,11225,112,13,9,25,47,72,2,0,0,2,0,0,0,0,No,Chosen
MA,1915,19,15,9,26,45,71,2,0,1,0,1,0,0,0,No,Chosen
MA,2135,21,15,9,26,45,71,2,1,0,0,1,0,0,0,No,Chosen
NY,10467,104,13,9,25,46,71,2,0,1,1,0,0,0,0,No,Chosen
NY,13146,131,13,9,29,41,70,2,0,0,0,0,0,0,2,No,Chosen
NJ,8002,80,15,9,27,43,70,2,1,0,0,0,1,0,0,No,Chosen
NJ,7430,74,15,9,28,42,70,2,0,0,1,0,0,1,0,No,Chosen
PA,19064,190,13,9,26,44,70,2,0,1,0,1,0,0,0,No,Chosen
NJ,7001,70,15,9,26,44,70,2,0,1,0,1,0,0,0,No,Chosen
NY,11354,113,17,9,25,45,70,2,1,0,1,0,0,0,0,No,Chosen
NJ,7094,70,15,9,29,40,69,2,0,0,1,0,0,0,1,No,Chosen
NJ,7063,70,17,9,24,45,69,2,0,2,0,0,0,0,0,No,Chosen
PA,19087,190,17,9,27,42,69,2,1,0,0,0,1,0,0,No,Chosen
NY,10956,109,11,9,24,45,69,2,1,1,0,0,0,0,0,No,Chosen
NJ,7208,72,17,9,25,44,69,2,1,0,1,0,0,0,0,No,Chosen
NJ,8540,85,17,9,25,43,68,2,1,0,1,0,0,0,0,No,Chosen
CT,6776,67,13,9,26,42,68,2,0,0,1,1,0,0,0,No,Chosen
NJ,7050,70,15,9,28,40,68,2,0,0,0,0,1,1,0,Yes,Chosen
DE,19810,198,11,9,29,39,68,2,0,0,1,0,0,0,1,No,Chosen
RI,2864,28,15,9,28,39,67,2,0,0,1,0,0,1,0,No,Chosen
NJ,7922,79,11,9,28,39,67,2,0,0,1,0,0,1,0,No,Chosen
NJ,7424,74,15,9,25,42,67,2,0,1,1,0,0,0,0,No,Chosen
NY,11554,115,11,9,27,40,67,2,1,0,0,0,1,0,0,No,Chosen
NJ,8530,85,17,9,24,43,67,2,0,2,0,0,0,0,0,No,Chosen
DE,19808,198,13,9,28,37,65,2,1,0,0,0,0,1,0,No,Chosen
NH,3300,33,17,9,24,41,65,2,0,2,0,0,0,0,0,No,Chosen
NY,11570,115,15,9,29,35,64,2,0,0,0,0,0,1,1,Yes,Chosen
CT,6457,64,13,9,28,36,64,2,0,0,0,0,1,1,0,Yes,Chosen
NY,11364,113,11,9,29,35,64,2,0,0,0,0,0,1,1,No,Chosen
NY,11769,117,11,9,26,38,64,2,1,0,0,1,0,0,0,No,Chosen
NJ,7022,70,13,9,29,34,63,2,1,0,0,0,0,0,1,No,Chosen
NJ,8088,80,15,9,25,38,63,2,1,0,1,0,0,0,0,No,Chosen
NJ,8805,88,17,9,28,35,63,2,0,0,1,0,0,1,0,No,Chosen
NY,11590,115,17,9,28,35,63,2,1,0,0,0,0,1,0,No,Chosen
PA,18503,185,17,9,26,37,63,2,1,0,0,1,0,0,0,No,Chosen
NJ,7036,70,15,9,29,34,63,2,0,0,0,0,1,0,1,Yes,Chosen
PA,15642,156,15,9,24,39,63,2,1,1,0,0,0,0,0,No,Chosen
PA,19064,190,11,9,29,33,62,2,0,0,1,0,0,0,1,No,Chosen
NY,14775,147,15,9,28,33,61,2,1,0,0,0,0,1,0,No,Chosen
MA,2723,27,11,9,25,36,61,2,0,1,1,0,0,0,0,No,Chosen
MD,21085,210,17,9,28,33,61,2,0,0,0,0,1,1,0,No,Chosen
NY,11735,117,17,9,27,34,61,2,0,0,1,0,1,0,0,No,Chosen
NJ,8830,88,11,9,28,32,60,2,0,1,0,0,0,1,0,No,Chosen
PA,19087,190,17,9,28,32,60,2,0,0,1,0,0,1,0,No,Chosen
NY,11772,117,15,9,26,34,60,2,0,0,1,1,0,0,0,Yes,Chosen
NY,14526,145,17,9,26,34,60,2,0,1,0,1,0,0,0,No,Chosen
NY,13406,134,13,9,29,30,59,2,1,0,0,0,0,0,1,No,Chosen
NY,10044,100,15,9,25,33,58,2,0,0,2,0,0,0,0,No,Chosen
NY,13492,134,15,9,27,31,58,2,0,0,1,0,1,0,0,No,Chosen
NY,11729,117,15,9,25,33,58,2,0,0,2,0,0,0,0,No,Chosen
NJ,7728,77,13,9,26,32,58,2,0,0,1,1,0,0,0,No,Chosen
DE,19810,198,15,9,24,34,58,2,0,2,0,0,0,0,0,No,Chosen
PA,18231,182,13,9,25,33,58,2,1,0,1,0,0,0,0,No,Chosen
NJ,7054,70,11,9,27,31,58,2,0,0,1,0,1,0,0,No,Chosen
PA,18704,187,13,9,25,32,57,2,0,0,2,0,0,0,0,No,Chosen
PA,19043,190,17,9,24,33,57,2,0,2,0,0,0,0,0,No,Chosen
NY,12572,125,15,9,29,28,57,2,0,0,0,0,0,1,1,No,Chosen
NJ,8034,80,15,9,24,33,57,2,1,1,0,0,0,0,0,No,Chosen
PA,19134,191,11,9,26,30,56,2,0,0,1,1,0,0,0,No,Chosen
NJ,7843,78,13,9,25,30,55,2,1,0,1,0,0,0,0,No,Chosen
NY,10465,104,17,9,28,26,54,2,1,0,0,0,0,1,0,Yes,Chosen
NJ,8215,82,15,9,28,26,54,2,0,0,1,0,0,1,0,No,Chosen
NY,11702,117,11,9,25,29,54,2,0,0,2,0,0,0,0,No,Chosen
CT,6907,69,13,9,28,26,54,2,0,0,0,0,0,2,0,Yes,Chosen
PA,19036,190,13,9,23,31,54,2,2,0,0,0,0,0,0,No,Chosen
PA,19096,190,15,9,26,27,53,2,1,0,0,1,0,0,0,No,Chosen
NJ,8742,87,13,9,25,28,53,2,1,0,1,0,0,0,0,No,Chosen
NJ,8518,85,15,9,25,28,53,2,1,0,1,0,0,0,0,No,Chosen
NY,11754,117,17,9,26,27,53,2,1,0,0,1,0,0,0,No,Chosen
MA,2154,21,15,9,26,27,53,2,0,0,1,1,0,0,0,No,Chosen
MD,20853,208,11,9,27,25,52,2,1,0,0,0,1,0,0,No,Chosen
NJ,7626,76,15,9,29,23,52,2,0,0,1,0,0,0,1,No,Chosen
NY,11414,114,11,9,25,27,52,2,1,0,1,0,0,0,0,No,Chosen
NY,11694,116,15,9,28,24,52,2,0,0,0,1,0,1,0,No,Chosen
NJ,7087,70,11,9,28,24,52,2,0,0,0,0,0,2,0,Yes,Chosen
NY,11235,112,11,9,26,25,51,2,0,0,1,1,0,0,0,No,Chosen
MD,21146,211,17,9,25,26,51,2,1,0,1,0,0,0,0,No,Chosen
NY,11375,113,17,9,24,27,51,2,0,2,0,0,0,0,0,No,Chosen
NJ,7470,74,13,9,24,27,51,2,1,1,0,0,0,0,0,No,Chosen
NY,10306,103,13,9,25,26,51,2,0,0,2,0,0,0,0,No,Chosen
NJ,8723,87,15,9,29,21,50,2,0,0,0,0,0,0,2,No,Chosen
DE,19808,198,13,9,29,20,49,2,0,0,0,1,0,0,1,No,Chosen
MD,21146,211,13,9,26,23,49,2,0,0,1,1,0,0,0,No,Chosen
RI,2906,29,15,9,27,22,49,2,1,0,0,0,1,0,0,No,Chosen
PA,18424,184,17,9,28,21,49,2,0,0,0,1,0,1,0,No,Chosen
NJ,7039,70,17,9,29,20,49,2,0,0,0,1,0,0,1,No,Chosen
NJ,7012,70,13,9,26,23,49,2,0,0,0,2,0,0,0,No,Chosen
NH,3302,33,13,9,29,20,49,2,0,1,0,0,0,0,1,No,Chosen
MA,1609,16,15,9,29,19,48,2,0,1,0,0,0,0,1,No,Chosen
NY,13073,130,11,9,26,22,48,2,0,1,0,1,0,0,0,No,Chosen
PA,19154,191,15,9,23,25,48,2,2,0,0,0,0,0,0,No,Chosen
PA,18067,180,15,9,25,23,48,2,1,0,1,0,0,0,0,No,Chosen
NJ,7066,70,13,9,29,18,47,2,0,0,0,1,0,0,1,No,Chosen
MA,1832,18,11,9,26,21,47,2,0,0,0,2,0,0,0,No,Chosen
NJ,7751,77,17,9,27,20,47,2,0,0,0,1,1,0,0,No,Chosen
NY,11434,114,11,9,29,18,47,2,0,0,0,1,0,0,1,No,Chosen
NY,11542,115,15,9,26,20,46,2,0,0,0,2,0,0,0,No,Chosen
NY,11220,112,17,9,29,17,46,2,0,0,0,1,0,0,1,No,Chosen
MD,20906,209,13,9,29,17,46,2,1,0,0,0,0,0,1,No,Chosen
PA,19026,190,13,9,25,21,46,2,1,0,1,0,0,0,0,No,Chosen
PA,19006,190,11,9,28,18,46,2,0,0,0,1,0,1,0,Yes,Chosen
NY,12210,122,13,9,27,18,45,2,1,0,0,0,1,0,0,No,Chosen
NJ,8006,80,13,9,26,18,44,2,1,0,0,1,0,0,0,No,Chosen
NH,3833,38,17,9,23,21,44,2,2,0,0,0,0,0,0,No,Chosen
NY,14004,140,15,9,28,15,43,2,1,0,0,0,0,1,0,No,Chosen
MD,21155,211,13,9,25,18,43,2,1,0,1,0,0,0,0,No,Chosen
NJ,8108,81,17,9,27,16,43,2,0,0,0,0,2,0,0,No,Chosen
NJ,7603,76,17,9,23,20,43,2,2,0,0,0,0,0,0,No,Chosen
MA,1778,17,13,9,27,16,43,2,0,0,0,0,2,0,0,No,Chosen
PA,19124,191,11,9,25,18,43,2,1,0,1,0,0,0,0,No,Chosen
NY,14225,142,15,9,24,18,42,2,1,1,0,0,0,0,0,No,Chosen
NY,12524,125,15,9,29,13,42,2,0,0,0,1,0,0,1,No,Chosen
NY,11215,112,13,9,29,13,42,2,0,0,0,1,0,0,1,No,Chosen
NJ,8759,87,11,9,29,13,42,2,1,0,0,0,0,0,1,No,Chosen
NY,14221,142,15,9,24,18,42,2,1,1,0,0,0,0,0,No,Chosen
CT,6605,66,15,9,25,16,41,2,0,1,1,0,0,0,0,No,Chosen
NH,3842,38,13,9,25,16,41,2,0,1,1,0,0,0,0,No,Chosen
DE,19808,198,11,9,23,18,41,2,2,0,0,0,0,0,0,No,Chosen
PA,19446,194,13,9,25,16,41,2,1,0,1,0,0,0,0,No,Chosen
NY,11743,117,17,9,25,15,40,2,0,0,2,0,0,0,0,No,Chosen
NJ,8884,88,15,9,29,11,40,2,1,0,0,0,0,0,1,No,Chosen
PA,19008,190,13,9,27,13,40,2,0,1,0,0,1,0,0,No,Chosen
NY,11530,115,17,9,25,15,40,2,0,1,1,0,0,0,0,No,Chosen
DE,19707,197,17,9,26,14,40,2,0,0,0,2,0,0,0,No,Chosen
CT,6111,61,15,9,27,12,39,2,0,0,1,0,1,0,0,No,Chosen
NY,11703,117,15,9,26,13,39,2,0,0,1,1,0,0,0,No,Chosen
NY,11361,113,17,9,29,10,39,2,0,0,0,0,0,0,2,No,Chosen
NY,11710,117,11,9,28,11,39,2,0,0,1,0,0,1,0,No,Chosen
PA,19085,190,13,9,28,10,38,2,0,0,0,0,0,2,0,No,Chosen
NJ,8723,87,11,9,25,12,37,2,0,0,2,0,0,0,0,No,Chosen
NY,11788,117,11,9,28,9,37,2,0,0,1,0,0,1,0,No,Chosen
CT,6492,64,17,9,27,10,37,2,0,1,0,0,1,0,0,No,Chosen
MD,20852,208,15,9,25,12,37,2,0,1,1,0,0,0,0,No,Chosen
NJ,7701,77,13,9,25,12,37,2,0,0,2,0,0,0,0,No,Chosen
VT,5641,56,11,9,29,8,37,2,0,0,1,0,0,0,1,No,Chosen
MA,2368,23,15,9,27,10,37,2,0,0,1,0,1,0,0,No,Chosen
NJ,8054,80,17,9,28,8,36,2,1,0,0,0,0,1,0,No,Chosen
NJ,7003,70,17,9,28,7,35,2,0,0,0,0,1,1,0,Yes,Chosen
CT,6877,68,15,9,28,7,35,2,0,0,0,1,0,1,0,Yes,Chosen
NY,11716,117,13,9,29,6,35,2,0,1,0,0,0,0,1,No,Chosen
MD,21209,212,15,9,26,8,34,2,1,0,0,1,0,0,0,No,Chosen
NJ,7512,75,11,9,25,9,34,2,0,1,1,0,0,0,0,No,Chosen
MD,21093,210,11,9,27,7,34,2,0,0,0,1,1,0,0,No,Chosen
NJ,8053,80,13,9,28,6,34,2,0,0,1,0,0,1,0,No,Chosen
PA,18102,181,15,9,26,8,34,2,0,0,1,1,0,0,0,No,Chosen
NY,10013,100,15,9,29,5,34,2,1,0,0,0,0,0,1,No,Chosen
NY,13903,139,15,9,29,4,33,2,0,0,1,0,0,0,1,No,Chosen
MD,20817,208,11,9,24,9,33,2,0,2,0,0,0,0,0,No,Chosen
PA,18018,180,11,9,29,4,33,2,1,0,0,0,0,0,1,No,Chosen
NY,11791,117,13,9,25,8,33,2,1,0,1,0,0,0,0,No,Chosen
NY,10465,104,11,9,25,6,31,2,0,1,1,0,0,0,0,No,Chosen
CT,6351,63,17,9,26,5,31,2,0,1,0,1,0,0,0,No,Chosen
NJ,7026,70,13,9,27,4,31,2,0,1,0,0,1,0,0,No,Chosen
NJ,8886,88,13,9,25,6,31,2,1,0,1,0,0,0,0,No,Chosen
MD,21133,211,15,9,29,2,31,2,0,0,1,0,0,0,1,No,Chosen
VI,804,8,15,9,29,2,31,2,0,0,1,0,0,0,1,No,Chosen
CT,6010,60,17,9,25,5,30,2,1,0,1,0,0,0,0,No,Chosen
PA,19341,193,13,9,29,1,30,2,0,1,0,0,0,0,1,No,Chosen
PA,15102,151,9,9,15,299,314,1,1,0,0,0,0,0,0,No,Chosen
NY,10598,105,9,9,15,299,314,1,1,0,0,0,0,0,0,No,Chosen
NJ,7646,76,9,9,15,299,314,1,0,1,0,0,0,0,0,No,Chosen
NY,11510,115,9,9,15,299,314,1,0,0,0,0,0,1,0,No,Chosen
NJ,7731,77,9,9,15,299,314,1,1,0,0,0,0,0,0,No,Chosen
NJ,8833,88,9,9,15,298,313,1,0,1,0,0,0,0,0,No,Chosen
MD,21093,210,9,9,15,298,313,1,1,0,0,0,0,0,0,No,Chosen
NY,11725,117,9,9,15,297,312,1,0,0,0,0,0,0,1,No,Chosen
NJ,8052,80,9,9,15,297,312,1,0,0,0,0,0,0,1,No,Chosen
NY,11518,115,9,9,15,297,312,1,0,0,0,0,0,0,1,No,Chosen
NY,12603,126,9,9,15,297,312,1,0,0,0,1,0,0,0,No,Chosen
NJ,7052,70,9,9,15,297,312,1,0,0,0,0,1,0,0,No,Chosen
CT,6804,68,9,9,15,297,312,1,1,0,0,0,0,0,0,Yes,Chosen
PA,18704,187,9,9,15,296,311,1,1,0,0,0,0,0,0,No,Chosen
NJ,7701,77,9,9,15,296,311,1,0,1,0,0,0,0,0,No,Chosen
NY,11763,117,9,9,15,295,310,1,0,1,0,0,0,0,0,No,Chosen
NY,10541,105,9,9,15,295,310,1,1,0,0,0,0,0,0,No,Chosen
NY,14840,148,9,9,15,294,309,1,1,0,0,0,0,0,0,No,Chosen
NJ,8003,80,9,9,15,293,308,1,0,0,0,0,0,1,0,No,Chosen
NY,11550,115,9,9,15,293,308,1,0,0,0,0,1,0,0,Yes,Chosen
PA,16124,161,9,9,15,293,308,1,0,1,0,0,0,0,0,No,Chosen
NY,11212,112,9,9,15,293,308,1,1,0,0,0,0,0,0,No,Chosen
PA,17201,172,9,9,15,293,308,1,0,0,0,0,0,0,1,No,Chosen
PA,19115,191,9,9,15,292,307,1,0,0,0,0,0,1,0,No,Chosen
NJ,7017,70,9,9,15,292,307,1,0,1,0,0,0,0,0,No,Chosen
MA,1360,13,9,9,15,291,306,1,0,0,1,0,0,0,0,No,Chosen
MD,21212,212,9,9,15,291,306,1,0,0,1,0,0,0,0,No,Chosen
PA,18042,180,9,9,15,291,306,1,0,0,1,0,0,0,0,Yes,Chosen
NY,11772,117,9,9,15,291,306,1,0,0,0,0,0,0,1,No,Chosen
MD,20904,209,9,9,15,291,306,1,1,0,0,0,0,0,0,Yes,Chosen
NJ,8836,88,9,9,15,290,305,1,0,0,0,1,0,0,0,No,Chosen
NY,10009,100,9,9,15,290,305,1,0,0,0,0,0,1,0,No,Chosen
NJ,8075,80,9,9,15,290,305,1,0,0,1,0,0,0,0,No,Chosen
MD,21227,212,9,9,15,290,305,1,0,0,0,0,0,0,1,No,Chosen
NJ,7039,70,9,9,15,290,305,1,0,0,0,0,0,0,1,No,Chosen
PA,19096,190,9,9,15,290,305,1,0,0,0,0,0,0,1,No,Chosen
NY,11230,112,9,9,15,290,305,1,1,0,0,0,0,0,0,No,Chosen
MD,21228,212,9,9,15,289,304,1,0,0,1,0,0,0,0,No,Chosen
NJ,7070,70,9,9,15,289,304,1,1,0,0,0,0,0,0,No,Chosen
CT,6360,63,9,9,15,289,304,1,0,0,0,0,0,1,0,No,Chosen
NY,12566,125,9,9,15,288,303,1,0,0,0,1,0,0,0,No,Chosen
NY,11579,115,9,9,15,288,303,1,0,1,0,0,0,0,0,No,Chosen
NY,11364,113,9,9,15,287,302,1,0,0,0,0,0,1,0,No,Chosen
PA,18201,182,9,9,15,287,302,1,0,0,1,0,0,0,0,No,Chosen
PA,18938,189,9,9,15,287,302,1,0,0,1,0,0,0,0,No,Chosen
MD,20854,208,9,9,15,287,302,1,0,0,0,0,0,0,1,No,Chosen
MD,21212,212,9,9,15,287,302,1,0,0,1,0,0,0,0,No,Chosen
NJ,7109,71,9,9,15,286,301,1,0,0,0,0,0,1,0,No,Chosen
NY,11385,113,9,9,15,286,301,1,0,0,1,0,0,0,0,No,Chosen
NJ,8741,87,9,9,15,286,301,1,0,0,1,0,0,0,0,No,Chosen
NY,11214,112,9,9,15,286,301,1,0,0,0,1,0,0,0,No,Chosen
NY,12077,120,9,9,15,286,301,1,0,0,1,0,0,0,0,No,Chosen
NY,11570,115,9,9,15,285,300,1,0,0,0,0,1,0,0,No,Chosen
NY,12603,126,9,9,15,285,300,1,0,0,0,0,0,0,1,No,Chosen
NY,11754,117,9,9,15,285,300,1,0,0,0,0,1,0,0,No,Chosen
NY,14223,142,9,9,15,285,300,1,0,0,1,0,0,0,0,No,Chosen
NY,10607,106,9,9,15,284,299,1,0,0,0,0,0,0,1,No,Chosen
NY,11791,117,9,9,15,284,299,1,1,0,0,0,0,0,0,No,Chosen
PA,15085,150,9,9,15,284,299,1,1,0,0,0,0,0,0,No,Chosen
PA,18235,182,9,9,15,283,298,1,0,1,0,0,0,0,0,No,Chosen
PA,19004,190,9,9,15,283,298,1,0,0,0,0,0,0,1,No,Chosen
PA,15101,151,9,9,15,283,298,1,0,0,1,0,0,0,0,No,Chosen
NJ,8835,88,9,9,15,283,298,1,0,0,0,1,0,0,0,No,Chosen
NY,11758,117,9,9,15,283,298,1,0,1,0,0,0,0,0,No,Chosen
NJ,8757,87,9,9,15,283,298,1,0,0,1,0,0,0,0,No,Chosen
NJ,8619,86,9,9,15,282,297,1,1,0,0,0,0,0,0,No,Chosen
NJ,8840,88,9,9,15,281,296,1,1,0,0,0,0,0,0,No,Chosen
NJ,7013,70,9,9,15,281,296,1,0,0,1,0,0,0,0,No,Chosen
NJ,7758,77,9,9,15,281,296,1,0,0,0,0,0,0,1,Yes,Chosen
NY,11106,111,9,9,15,281,296,1,0,0,0,1,0,0,0,No,Chosen
NJ,7403,74,9,9,15,281,296,1,0,0,1,0,0,0,0,No,Chosen
MA,2146,21,9,9,15,281,296,1,0,0,1,0,0,0,0,No,Chosen
NJ,7050,70,9,9,15,280,295,1,0,0,1,0,0,0,0,Yes,Chosen
MA,1106,11,9,9,15,280,295,1,0,0,0,0,0,1,0,No,Chosen
NY,14227,142,9,9,15,280,295,1,0,0,0,0,1,0,0,No,Chosen
NY,11201,112,9,9,15,280,295,1,0,0,0,0,0,0,1,No,Chosen
NJ,7410,74,9,9,15,279,294,1,0,0,0,1,0,0,0,No,Chosen
NY,11369,113,9,9,15,279,294,1,0,0,1,0,0,0,0,No,Chosen
NY,10036,100,9,9,15,279,294,1,1,0,0,0,0,0,0,Yes,Chosen
MA,2771,27,9,9,15,279,294,1,1,0,0,0,0,0,0,No,Chosen
NY,13905,139,9,9,15,279,294,1,0,0,1,0,0,0,0,No,Chosen
NH,3300,33,9,9,15,278,293,1,0,0,0,0,0,1,0,No,Chosen
NY,10463,104,9,9,15,278,293,1,0,0,0,0,0,1,0,No,Chosen
NJ,7066,70,9,9,15,278,293,1,0,0,1,0,0,0,0,No,Chosen
PA,19149,191,9,9,15,278,293,1,0,0,1,0,0,0,0,No,Chosen
NJ,7652,76,9,9,15,278,293,1,0,1,0,0,0,0,0,No,Chosen
NY,10573,105,9,9,15,278,293,1,0,1,0,0,0,0,0,No,Chosen
CT,6430,64,9,9,15,278,293,1,0,0,0,0,1,0,0,No,Chosen
NY,10128,101,9,9,15,277,292,1,1,0,0,0,0,0,0,No,Chosen
PA,19317,193,9,9,15,277,292,1,1,0,0,0,0,0,0,No,Chosen
NY,11427,114,9,9,15,277,292,1,0,0,1,0,0,0,0,No,Chosen
CT,6606,66,9,9,15,277,292,1,1,0,0,0,0,0,0,No,Chosen
NY,11788,117,9,9,15,277,292,1,0,0,0,1,0,0,0,No,Chosen
PA,19436,194,9,9,15,276,291,1,0,0,0,0,0,0,1,No,Chosen
NY,11362,113,9,9,15,276,291,1,1,0,0,0,0,0,0,No,Chosen
NY,11234,112,9,9,15,276,291,1,0,0,1,0,0,0,0,No,Chosen
NJ,8054,80,9,9,15,276,291,1,0,0,0,0,0,0,1,No,Chosen
NJ,7034,70,9,9,15,276,291,1,0,0,1,0,0,0,0,No,Chosen
CT,6470,64,9,9,15,276,291,1,0,0,0,0,1,0,0,No,Chosen
NY,11733,117,9,9,15,276,291,1,0,0,1,0,0,0,0,No,Chosen
NJ,7052,70,9,9,15,275,290,1,0,0,0,1,0,0,0,No,Chosen
NY,11429,114,9,9,15,275,290,1,1,0,0,0,0,0,0,No,Chosen
CT,6281,62,9,9,15,275,290,1,1,0,0,0,0,0,0,No,Chosen
PA,17053,170,9,9,15,275,290,1,0,0,0,0,0,1,0,No,Chosen
MA,2536,25,9,9,15,275,290,1,0,1,0,0,0,0,0,No,Chosen
NY,13820,138,9,9,15,274,289,1,0,0,1,0,0,0,0,No,Chosen
NY,11590,115,9,9,15,274,289,1,0,0,1,0,0,0,0,No,Chosen
MA,2341,23,9,9,15,274,289,1,0,0,1,0,0,0,0,No,Chosen
PA,19120,191,9,9,15,273,288,1,0,1,0,0,0,0,0,No,Chosen
CT,6351,63,9,9,15,273,288,1,1,0,0,0,0,0,0,No,Chosen
NY,11375,113,9,9,15,272,287,1,0,0,0,0,1,0,0,No,Chosen
CT,6611,66,9,9,15,272,287,1,0,0,1,0,0,0,0,No,Chosen
PA,18062,180,9,9,15,272,287,1,1,0,0,0,0,0,0,Yes,Chosen
NJ,8006,80,9,9,15,272,287,1,0,0,0,0,0,1,0,No,Chosen
NH,3885,38,9,9,15,272,287,1,0,0,0,0,0,0,1,No,Chosen
MA,1867,18,9,9,15,271,286,1,0,0,1,0,0,0,0,No,Chosen
NY,11935,119,9,9,15,271,286,1,0,1,0,0,0,0,0,No,Chosen
NJ,7747,77,9,9,15,271,286,1,0,0,1,0,0,0,0,Yes,Chosen
MA,2110,21,9,9,15,271,286,1,1,0,0,0,0,0,0,No,Chosen
MD,21045,210,9,9,15,271,286,1,0,0,1,0,0,0,0,No,Chosen
PA,16415,164,9,9,15,271,286,1,0,0,0,0,0,1,0,Yes,Chosen
CT,6751,67,9,9,15,270,285,1,0,0,1,0,0,0,0,No,Chosen
NY,11722,117,9,9,15,270,285,1,0,1,0,0,0,0,0,No,Chosen
NY,10306,103,9,9,15,270,285,1,0,0,0,0,0,1,0,No,Chosen
NY,10016,100,9,9,15,270,285,1,0,0,0,0,0,0,1,No,Chosen
NY,10308,103,9,9,15,269,284,1,0,1,0,0,0,0,0,No,Chosen
MA,1749,17,9,9,15,269,284,1,1,0,0,0,0,0,0,No,Chosen
NY,14150,141,9,9,15,269,284,1,0,0,0,0,0,0,1,No,Chosen
MD,20903,209,9,9,15,269,284,1,0,0,1,0,0,0,0,No,Chosen
NY,14905,149,9,9,15,269,284,1,0,0,1,0,0,0,0,No,Chosen
VT,5151,51,9,9,15,268,283,1,0,0,0,0,0,1,0,No,Chosen
